relativePath,status,raw-egraph,raw-egraph-debruijn,java-egglog,java-egglog-debruijn,slotted-egraph,canonical,typed-slotted-port-egraph
"classroom_fol/correct/j86m3rM4x4pWiHfHp_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/jL3jEB6iEzr5S8AEk_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/jjSNxYHxZMJbzm7Af_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/kbLnKWHQArw5ffH7c_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ksf7ERQuYZ3qogX3p_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/kt25K7yvj7q4EwM5T_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/m3pFCWRFRwu84jd76_inv12.als","CORRECT",false,true,false,true,true,true,true
"classroom_fol/correct/m7h5Li6h9m2PYHiJy_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/mmoWShZ4P5dFeaNrc_inv7.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/n47MBdA9YuMEhNjLb_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/o2Z9fjstPWrZQhQy8_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/oEpAjcM3RgCw9d38Z_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/oWTm6LtDzSuKvawgP_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/pNp8H5HCJaGg6AsJf_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/pZdStqH9Gifwf2vys_inv7.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/pb65cuQSfSRnHAiBj_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/pfePFh58nEz2QD3Mb_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/pj5ZSrhEvjSyZekS2_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/qSeSD628rdtNAYrPL_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/qeEk6GQQPwwyRMhSN_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/qiLT6LFjK7Pep8F3J_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/qkb4Z4E46RDj6mBKL_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/qsaogfXKwk6Nk8GKP_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ravbDSJ96nd5ZYu5k_inv3.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sBJgCzrPHXqxHZQi7_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sBh5TueM78N7putd7_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sBuBJWpitcSgjvFY8_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sHNH7mKXMADaeGxSP_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sTr6sE2EsiTdxPoBv_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sTtE3mqC6NXHKYaR3_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sXex8zjZ4ZT6WtBnn_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sbXoYe2A6jATKGrEw_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/sg8KQRoXzYYCwxYeD_inv12.als","CORRECT",false,true,false,true,true,true,true
"classroom_fol/correct/t6ZkmMcaxzyS7G7YE_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/tLHbkiaLxttJsQTi8_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/tQATbnA9EHwRSvtbz_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/tTNjmjSwAeRqfGiqc_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/u3dt5JWh4YD4sAegg_inv2.als","CORRECT",false,false,false,false,false,true,true
