BOPEXPR_PLUS,BOPEXPR_,2,2
QT_FORMULA,LIST_EXPR_1,1,5
CALL_EXPR,Dummy for ref,1,5
BOP_NOT_IN,Dummy for field,2,237
UNOPE_RCLOSURE,BOPEXPR_JOIN,1,18
BOP_UNTIL,QT_FORMULA,2,5
Dummy for ref,UNOPF_ONCE,1,5
UNOPF_NOT,BOP_IMPLIES,1,8
LIST_FORMULA_1,UNOPF_ONCE,2,13
BOP_EQ,BOPEXPR_MINUS,1,5
BOP_NEQ,UNOPE_PRIME,1,16
BOP_GTE,1,2,1
QT_FORMULA,BOP_GT,1,6
BOP_RELEASES,BOP_EQ,1,1
LIST_FORMULA_1,UNOPF_SOME,3,12
BOPEXPR_INTERSECT,Dummy for field,2,10
RELDECL_0,Dummy for var,3,1041
UNOPF_ALWAYS,BOP_NEQ,1,22
BOPEXPR_JOIN,Dummy for ref,2,6
LIST_FORMULA_1,BOP_NEQ,5,6
BOP_IFF,BOP_IN,1,7
QT_FORMULA,RELDECL_0,5,772
LIST_FORMULA_1,<END>,7,2
UNOPF_EVENTUALLY,BOP_UNTIL,1,3
LIST_FORMULA_1,BOP_LT,2,2
UNOPE_ONE,BOPEXPR_JOIN,1,162
LIST_FORMULA_2,<END>,7,14
UNOPF_HISTORICALLY,QT_FORMULA,1,2
LIST_FORMULA_1,UNOPF_LONE,1,10
BOPEXPR_INTERSECT,BOPEXPR_DOMAIN,2,1
UNOPF_ALWAYS,UNOPF_AFTER,1,2
UNOPF_EVENTUALLY,BOP_IN,1,208
LIST_FORMULA_1,UNOPF_NO,1,69
BOP_IN,BOPEXPR_PLUS,1,189
BOPEXPR_JOIN,BOPEXPR_DOMAIN,1,25
LIST_FORMULA_1,<END>,3,2667
BOPEXPR_PLUS,BOPEXPR_MINUS,1,4
LIST_FORMULA_1,UNOPF_ALWAYS,2,82
BOPEXPR_ARROW,BOPEXPR_JOIN,2,1
BOP_IMPLIES,BOP_NEQ,2,26
BOP_IMPLIES,UNOPF_NO,1,38
UNOPF_SOME,Dummy for sig,1,82
BOPEXPR_JOIN,BOPEXPR_PLUS,1,2
UNOPF_LONE,UNOPE_TRANSPOSE,1,1
BOPEXPR_ARROW,BOPEXPR_ARROW,1,4
BOPEXPR_INTERSECT,UNOPE_CLOSURE,1,2
Dummy for ref,BOP_UNTIL,1,4
LIST_FORMULA_1,UNOPF_ONE,2,29
BOPEXPR_LONE_ARROW_ANY,Dummy for sig,2,2
BOPEXPR_LONE_ARROW_ANY,Dummy for sig,1,2
BOP_IMPLIES,LIST_FORMULA_2,2,249
Dummy for ref,UNOPF_ALWAYS,1,667
LIST_FORMULA_2,QT_FORMULA,2,187
BOP_IMPLIES,BOP_EQ,1,21
LIST_FORMULA_1,BOP_NEQ,1,196
QT_FORMULA,BOP_UNTIL,1,82
LIST_FORMULA_1,LIST_FORMULA_2,3,2
UNOPF_ONCE,BOP_NOT_IN,1,3
BOP_LT,2,2,18
BOPEXPR_ARROW,Dummy for field,2,6
UNOPF_EVENTUALLY,UNOPF_ALWAYS,1,51
BOPEXPR_INTERSECT,Dummy for var,1,43
BOPEXPR_JOIN,UNOPE_RCLOSURE,2,45
BOP_IN,Dummy for var,1,2551
Dummy for ref,LIST_FORMULA_2,1,6
QT_FORMULA,UNOPF_SOME,1,1235
UNOPF_HISTORICALLY,UNOPF_SOME,1,2
UNOPF_ALWAYS,UNOPF_LONE,1,26
LIST_FORMULA_1,UNOPF_EVENTUALLY,2,15
UNOPF_ONE,BOPEXPR_PLUS,1,1
BOP_EQ,BOPEXPR_DOMAIN,2,1
BOP_IMPLIES,QT_FORMULA,1,156
ITE_FORMULA,UNOPF_NO,1,6
QT_FORMULA,BOP_SINCE,1,7
BOPEXPR_ARROW,Dummy for field,1,4
LIST_FORMULA_1,BOP_NOT_IN,5,2
BOP_IN,BOPEXPR_ANY_ARROW_SOME,2,1
LIST_FORMULA_2,<END>,5,2
BOP_IMPLIES,BOP_NOT_IN,2,214
UNOPF_ALWAYS,UNOPF_EVENTUALLY,1,170
BOPEXPR_ARROW,Dummy for var,1,10267
BOP_IMPLIES,BOP_IMPLIES,2,15
LIST_FORMULA_2,BOP_EQ,3,1
BOP_IMPLIES,BOP_UNTIL,2,12
BOP_EQ,UNOPE_PRIME,2,9
BOPEXPR_,UNOPE_CLOSURE,1,1
UNOPF_ONE,BOPEXPR_,1,52
